club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Treviso,Gianni Guigou,30.0,Defensive Midfield,Fiorentina,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Treviso,Marco Borriello,23.0,Centre-Forward,AC Milan,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Treviso,Matteo Sereni,30.0,Goalkeeper,Lazio,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Treviso,Christian Maggio,23.0,Right-Back,Fiorentina,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Treviso,Gustavo Lazzaretti,21.0,Centre-Back,South America,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Igor Budan,25.0,Centre-Forward,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Ivan Buonocunto,19.0,Attacking Midfield,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Domenico Giampà,28.0,Right Midfield,Messina Peloro,?,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Alessandro Moro,21.0,Defensive Midfield,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Michele Lestani,19.0,Central Midfield,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Riccardo Bonetto,26.0,Left-Back,Empoli,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Ascoli,Schumacher,19.0,Centre-Forward,South America,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Olympique Lyon,Fred,21.0,Centre-Forward,South America,15.60m,in,Summer,"15,6",Ligue 1,2005,2005/2006
Olympique Lyon,Tiago Mendes,24.0,Central Midfield,Chelsea,10.10m,in,Summer,"10,1",Ligue 1,2005,2005/2006
Olympique Lyon,John Carew,25.0,Centre-Forward,Turkey,7.60m,in,Summer,"7,6",Ligue 1,2005,2005/2006
Olympique Lyon,Benoît Pedretti,24.0,Defensive Midfield,Marseille,7.50m,in,Summer,"7,5",Ligue 1,2005,2005/2006
Olympique Lyon,Sylvain Monsoreau,24.0,Centre-Back,FC Sochaux,5.00m,in,Summer,5,Ligue 1,2005,2005/2006
LOSC Lille,Abdul Kader Keita,23.0,Right Winger,Asia,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
LOSC Lille,Daniel Gygax,23.0,Attacking Midfield,Uk,750Th.,in,Summer,"0,75",Ligue 1,2005,2005/2006
LOSC Lille,Stephan Lichtsteiner,21.0,Right-Back,Uk,650Th.,in,Summer,"0,65",Ligue 1,2005,2005/2006
LOSC Lille,Flavien Le Postollec,21.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
LOSC Lille,Hicham Aboucherouane,24.0,Left Winger,Africa Sports,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Monaco,Camel Meriem,25.0,Attacking Midfield,G. Bordeaux,6.00m,in,Summer,6,Ligue 1,2005,2005/2006
Monaco,Olivier Sorlin,26.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Monaco,Toifilou Maoulida,26.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Monaco,Gerard López,26.0,Central Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Monaco,Guillaume Warmuz,35.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Monaco,Olivier Kapo,24.0,Attacking Midfield,Juventus,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Rennes,John Utaka,23.0,Left Winger,Lens,6.00m,in,Summer,6,Ligue 1,2005,2005/2006
Rennes,Erik Edman,26.0,Left-Back,Spurs,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Rennes,Youssouf Hadji,25.0,Centre-Forward,France,1.60m,in,Summer,"1,6",Ligue 1,2005,2005/2006
Rennes,Alain Rochat,22.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Rennes,Cheick N'Diaye,20.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Marseille,Mamadou Niang,25.0,Centre-Forward,R. Strasbourg,7.00m,in,Summer,7,Ligue 1,2005,2005/2006
Marseille,Lorik Cana,22.0,Defensive Midfield,Paris SG,4.00m,in,Summer,4,Ligue 1,2005,2005/2006
Marseille,Bostjan Cesar,22.0,Centre-Back,Est_EU,2.50m,in,Summer,"2,5",Ligue 1,2005,2005/2006
Marseille,Christian Giménez,30.0,Centre-Forward,Uk,700Th.,in,Summer,"0,7",Ligue 1,2005,2005/2006
Marseille,Franck Ribéry,22.0,Left Winger,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Marseille,Wilson Oruma,28.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Marseille,Sabri Lamouchi,33.0,Central Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Marseille,Andrés Mendoza,27.0,Centre-Forward,Est_EU,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Marseille,André Luis,25.0,Centre-Back,Benfica,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Marseille,Yannick Quesnel,31.0,Goalkeeper,Benfica,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Saint-Étienne,Pascal Feindouno,24.0,Right Winger,G. Bordeaux,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Saint-Étienne,Frédéric Piquionne,26.0,Centre-Forward,Stade Rennais,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Saint-Étienne,Sébastien Mazure,26.0,Centre-Forward,France,2.00m,in,Summer,2,Ligue 1,2005,2005/2006
Saint-Étienne,Damien Perquis,21.0,Centre-Back,Troyes,600Th.,in,Summer,"0,6",Ligue 1,2005,2005/2006
Saint-Étienne,Jody Viviani,23.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Saint-Étienne,Alaeddine Yahia,23.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Saint-Étienne,Siaka Tiéné,23.0,Left-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Lens,Alou Diarra,23.0,Defensive Midfield,Uk,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Lens,Aruna Dindane,24.0,Second Striker,Belgium,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Lens,Issam Jemâa,21.0,Centre-Forward,Africa Sports,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
Lens,Yohan Demont,27.0,Right-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AJ Auxerre,Thomas Kahlenberg,22.0,Central Midfield,North_EU,5.00m,in,Summer,5,Ligue 1,2005,2005/2006
AJ Auxerre,Oumar Kalabane,24.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AJ Auxerre,Péguy Luyindula,26.0,Centre-Forward,Marseille,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
AJ Auxerre,Krisztián Vadócz,20.0,Central Midfield,Central_EU,?,in,Summer,0.01,Ligue 1,2005,2005/2006
AJ Auxerre,Mathieu Berson,25.0,Defensive Midfield,Aston Villa,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Paris SG,Bonaventure Kalou,27.0,Right Winger,AJ Auxerre,8.50m,in,Summer,"8,5",Ligue 1,2005,2005/2006
Paris SG,Vikash Dhorasoo,31.0,Central Midfield,AC Milan,3.20m,in,Summer,"3,2",Ligue 1,2005,2005/2006
Paris SG,Fabrice Pancrate,25.0,Right Winger,Le Mans UC 72,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Paris SG,David Rozehnal,24.0,Centre-Back,Belgium,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Paris SG,Cristian Rodríguez,19.0,Central Midfield,South America,500Th.,in,Summer,"0,5",Ligue 1,2005,2005/2006
Paris SG,Christophe Landrin,28.0,Central Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Paris SG,Carlos Bueno,25.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Sochaux,Moumouni Dagano,24.0,Centre-Forward,France,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
